Type,SAC,MET, Description,Keyword
Bicycling,1003,14,"Bicycling, mountain, uphill, vigorous",Mountain
Bicycling,1004,16,"Bicycling, mountain, competitive racing",Mountain
Bicycling,1008,9,"Bicycling, BMX",Mountain
Bicycling,1009,9,"Bicycling, mountain, general",Mountain
Bicycling,1010,4,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",Urban
Bicycling,1011,7,"Bicycling, to/from work, self selected pace",Urban
Bicycling,1013,6,"Bicycling, on dirt or farm road, moderate pace",Urban
Bicycling,1014,7,"Bicycling, general",Urban
Bicycling,1015,4,"Bicycling, self-selected easy pace",Urban
Bicycling,1016,7,"Bicycling, self-selected moderate pace",Urban
Bicycling,1017,9,"Bicycling, self-selected vigorous pace",Urban
Bicycling,1018,4,"Bicycling, leisure 5,5 mph",Urban
Bicycling,1019,6,"Bicycling, leisure, 9,4 mph",Urban
Bicycling,1020,7,"Bicycling, 10-11,9 mph, leisure, slow, light effort",Urban
Bicycling,1030,8,"Bicycling, 12-13,9 mph, leisure, moderate effort",Urban
Bicycling,1040,10,"Bicycling, 14-15,9 mph, racing or leisure, fast, vigorous effort",Urban
Bicycling,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",Urban
Bicycling,1060,17,"Bicycling, >20 mph, racing, not drafting",Urban
Bicycling,1065,9,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",Urban
Bicycling,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",Urban
Bicycling,1070,5,Unicycling,Urban
Bicycling,1080,7,E-bike (electrically assisted) without electronic support,Electric
Bicycling,1084,6,E-bike (electrically assisted) with light electronic support,Electric
Bicycling,1088,4,E-bike (electrically assisted) with high electronic support,Electric
Bicycling,1200,7,"Bicycling, stationary, general",Indoor
Bicycling,1210,4,"Bicycling, stationary, 25-30 watts, very light to light effort",Indoor
Bicycling,1214,4,"Bicycling, stationary, 50 watts, light effort",Indoor
Bicycling,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort",Indoor
Bicycling,1218,6,"Bicycling, stationary, 70-80 watts",Indoor
Bicycling,1220,6,"Bicycling, stationary, 90-100 watts,  moderate to vigorous",Indoor
Bicycling,1224,7,"Bicycling, stationary, 101-125 watts",Indoor
Bicycling,1228,8,"Bicycling, stationary, 126-150 watts",Indoor
Bicycling,1232,10,"Bicycling, stationary, 151-199 watts",Indoor
Bicycling,1236,11,"Bicycling, stationary, 200-229 watts, vigorous",Indoor
Bicycling,1240,13,"Bicycling, stationary, 230-250 watts, very vigorous",Indoor
Bicycling,1244,14,"Bicycling, stationary, 270-305 watts, very vigorous",Indoor
Bicycling,1248,16,"Bicycling, stationary, >325 watts, very vigorous",Indoor
Bicycling,1252,6,"Bicycling, concentric only, 100 W",Indoor
Bicycling,1254,11,"Bicycling, concentric only, 200 W",Indoor
Bicycling,1262,2,"Bicycling, eccentric only, 100 to 149 W",Indoor
Bicycling,1264,4,"Bicycling, eccentric only, 200 W",Indoor
Bicycling,1270,9,"Bicycling, stationary, RPM/Spin bike class",Indoor
Bicycling,1290,9,"Bicycling, interactive virtual cycling, indoor cycle ergometer",Indoor
Bicycling,1305,9,"Bicycling, high intensity interval training",Indoor
Conditioning Exercises,2000,7,"Aerobic, general",Aerobic
Conditioning Exercises,2001,6,"Aerobic, step, with 4-inch step",Aerobic
Conditioning Exercises,2002,7,"Aerobic, step, with 6 – 8 inch step",Aerobic
Conditioning Exercises,2003,9,"Aerobic, step, with 10 – 12 inch step",Aerobic
Conditioning Exercises,2004,8,"Bench step class, general",Step
Conditioning Exercises,2005,5,"Aerobic dance, low impact, moderate effort",Aerobic
Conditioning Exercises,2006,8,"Aerobic dance, high impact, vigorous effort",Aerobic
Conditioning Exercises,2007,10,Aerobic dance wearing 10-15 lb weights,Aerobic
Conditioning Exercises,2008,5,"Army type obstacle course exercise, boot camp training program",Obstacle
Conditioning Exercises,2020,8,"Calisthenics (e,g,, pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",Calisthenics
Conditioning Exercises,2022,4,"Calisthenics (e,g,, pushups, sit ups, pull-ups, lunges), moderate effort",Calisthenics
Conditioning Exercises,2024,3,"Calisthenics (e,g,, curl ups, abdominal crunches, plank),  light effort",Calisthenics
Conditioning Exercises,2030,4,"Calisthenics, light or moderate effort, general (e,g,, back exercises), going up & down from floor (Taylor Code 150)",Calisthenics
Conditioning Exercises,2032,6,"Circuit training, body weight exercises",Circuit Training
Conditioning Exercises,2034,4,"Circuit training, light effort",Circuit Training
Conditioning Exercises,2035,5,"Circuit training, moderate effort",Circuit Training
Conditioning Exercises,2040,8,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",Circuit Training
Conditioning Exercises,2045,4,Curves™ exercise routines in women,Circuit Training
Conditioning Exercises,2048,5,"Elliptical trainer, moderate effort",Elliptical
Conditioning Exercises,2049,9,"Elliptical trainer, vigorous effort",Elliptical
Conditioning Exercises,2050,6,"Resistance (weight lifting – free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)",Resistance
Conditioning Exercises,2052,5,"Resistance (weight) training, squats, deadlift, slow or explosive effort",Resistance
Conditioning Exercises,2054,4,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",Resistance
Conditioning Exercises,2055,6,"Resistance Training, circuit, reciprocal supersets, peripheral hear action training",Resistance
Conditioning Exercises,2056,3,"Body weight resistance exercises (e,g,, squat, lunge, push-up, crunch), general",Resistance
Conditioning Exercises,2057,7,"Body weight resistance exercises (e,g,, squat, lunge, push-up, crunch), high intensity",Resistance
Conditioning Exercises,2058,10,Kettle bell swings,Resistance
Conditioning Exercises,2060,6,"Health club exercise, general (Taylor Code 160)",General
Conditioning Exercises,2061,5,"Health club exercise classes general, gym/weight training combined in one visit",General
Conditioning Exercises,2062,8,"Health club exercise, conditioning classes",General
Conditioning Exercises,2064,4,"Home exercise, general",General
Conditioning Exercises,2065,9,"Stair treadmill ergometer, general",General
Conditioning Exercises,2068,11,"Rope skipping exercise, general",Rope
Conditioning Exercises,2069,9,"Jumping rope, Digi-Jump Machine, 120 jumps/minute",Rope
Conditioning Exercises,2070,7,"Rowing, stationary ergometer, general, vigorous effort",Rowing
Conditioning Exercises,2071,5,"Rowing, stationary ergometer, general, <100 watts,  moderate effort",Rowing
Conditioning Exercises,2072,8,"Rowing, stationary, 100 to 149 watts, vigorous effort",Rowing
Conditioning Exercises,2073,11,"Rowing, stationary, 150 to 199 watts, vigorous effort",Rowing
Conditioning Exercises,2074,14,"Rowing, stationary, ≥ 200 watts, very vigorous effort",Rowing
Conditioning Exercises,2078,11,"Shuttle running, forward/backward/lateral",Shuttle
Conditioning Exercises,2080,7,"Ski machine, general",Ski
Conditioning Exercises,2082,11,"Ski ergometer, cross country, double poling, slow to moderate speed",Ski
Conditioning Exercises,2084,18,"Ski ergometer, cross country, double poling, fast to maximum speed",Ski
Conditioning Exercises,2085,11,"Slide board exercise, general",Flexibility
Conditioning Exercises,2090,6,"Slimnastics, jazzercise",Flexibility
Conditioning Exercises,2101,2,"Stretching, mild",Flexibility
Conditioning Exercises,2103,2,"Pilates, traditional, mat",Flexibility
Conditioning Exercises,2105,3,"Pilates, general",Flexibility
Conditioning Exercises,2107,9,"Pound, combination of Pilates and body movements with drumming",Flexibility
Conditioning Exercises,2108,5,"Pole dancing, exercise class",Flexibility
Conditioning Exercises,2110,7,"Teaching exercise classes (e,g,, aerobic, water)",General
Conditioning Exercises,2112,3,"Therapeutic exercise ball, Fitball exercise",General
Conditioning Exercises,2114,10,"Therapeutic exercise ball, Fitball exercise, high intensity",General
Conditioning Exercises,2115,3,"Upper body exercise, arm ergometer, general, light",General
Conditioning Exercises,2116,2,"Arm Ergometer, hand bike, 15W",General
Conditioning Exercises,2117,3,"Arm Ergometer, hand bike, 25-30W",General
Conditioning Exercises,2118,4,"Arm Ergometer, hand bike, 45W",General
Conditioning Exercises,2119,4,"Upper body exercise, stationary bicycle – Airdyne (arms only) 40 rpm, moderate intensity",General
Conditioning Exercises,2120,5,"Water aerobics, water calisthenics, water exercise",General
Conditioning Exercises,2135,1,"Whirlpool, sitting",General
Conditioning Exercises,2140,3,"Video, exercise workouts, TV conditioning programs (e,g,, yoga, stretching, seated), light effort",General
Conditioning Exercises,2143,4,"Video, exercise workouts, TV conditioning programs (e,g,, cardio-resistance training), moderate",General
Conditioning Exercises,2145,6,"Video, exercise workouts, TV conditioning programs (e,g,, cardio-resistance training), vigorous",General
Conditioning Exercises,2150,2,"Yoga, Hatha",Yoga
Conditioning Exercises,2153,8,"Yoga, Hatha, high intensity",Yoga
Conditioning Exercises,2155,3,"Yoga, Hot",Yoga
Conditioning Exercises,2160,4,"Yoga, Power",Yoga
Conditioning Exercises,2170,2,"Yoga, Nadisodhana",Yoga
Conditioning Exercises,2175,2,"Yoga, General",Yoga
Conditioning Exercises,2180,4,"Yoga, Surya Namaskar",Yoga
Conditioning Exercises,2185,3,"Yoga, Vinyasa",Yoga
Conditioning Exercises,2200,5,"Native New Zealander PA, (e,g,, Haka Powhiri, Poi, Moteatea, etc,), general moderate effort",General
Conditioning Exercises,2205,7,"Native New Zealander PA, general, vigorous effort",General
Conditioning Exercises,2210,7,"High intensity interval exercise,  moderate effort",General
Conditioning Exercises,2214,11,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort",General
Conditioning Exercises,2225,2,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",General
Conditioning Exercises,2230,6,Hooping (formerly known as hula® hooping),General
Conditioning Exercises,2240,9,"Impulse Training System, Inertial Exercise Trainer",General
Conditioning Exercises,2280,8,"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing” vigorous intensity",General
Conditioning Exercises,2284,9,"ExerCube, workout series",General
